Approved symbol	Approved name	Ensembl gene ID
GLVR1	symbol withdrawn, see [HGNC:10946](/data/gene-symbol-report/#!/hgnc_id/HGNC:10946)	
GLVR2	symbol withdrawn, see [HGNC:10947](/data/gene-symbol-report/#!/hgnc_id/HGNC:10947)	
GLXR	symbol withdrawn, see [HGNC:4570](/data/gene-symbol-report/#!/hgnc_id/HGNC:4570)	
GLYAT	glycine-N-acyltransferase	ENSG00000149124
GLYATL1	glycine-N-acyltransferase like 1	ENSG00000166840
GLYATL1-AS1	GLYATL1 antisense RNA 1	ENSG00000255240
GLYATL1B	glycine-N-acyltransferase like 1B	ENSG00000255151
GLYATL1P1	glycine-N-acyltransferase like 1 pseudogene 1	ENSG00000255189
GLYATL1P2	glycine-N-acyltransferase like 1 pseudogene 2	ENSG00000254717
GLYATL1P4	glycine-N-acyltransferase like 1 pseudogene 4	ENSG00000254399
GLYATL2	glycine-N-acyltransferase like 2	ENSG00000156689
GLYATL3	glycine-N-acyltransferase like 3	ENSG00000203972
GLYB	glycine B complementing	
GLYCAM1	glycosylation dependent cell adhesion molecule 1 (pseudogene)	ENSG00000257780
GLYCTK	glycerate kinase	ENSG00000168237
GLYCTK-AS1	GLYCTK antisense RNA 1	ENSG00000242797
GLYD	symbol withdrawn, see [HGNC:4570](/data/gene-symbol-report/#!/hgnc_id/HGNC:4570)	
GLYR1	glyoxylate reductase 1 homolog	ENSG00000140632
GLYR1P1	GLYR1 pseudogene 1	ENSG00000237788
GLYS1	glycosuria 1, renal	
GLYT2L	symbol withdrawn, see [HGNC:4254](/data/gene-symbol-report/#!/hgnc_id/HGNC:4254)	
GM2A	ganglioside GM2 activator	ENSG00000196743
GM2AP1	GM2A pseudogene 1	ENSG00000241695
GM2AP2	GM2A pseudogene 2	ENSG00000239428
GMCL1	germ cell-less 1, spermatogenesis associated	ENSG00000087338
GMCL1P2	GMCL1 pseudogene 2	ENSG00000271070
GMCL2	germ cell-less 2, spermatogenesis associated	ENSG00000244234
GMDS	GDP-mannose 4,6-dehydratase	ENSG00000112699
GMDS-DT	GMDS divergent transcript	ENSG00000250903
GMEB1	glucocorticoid modulatory element binding protein 1	ENSG00000162419
GMEB2	glucocorticoid modulatory element binding protein 2	ENSG00000101216
GMFA	glia maturation factor alpha	
GMFB	glia maturation factor beta	ENSG00000197045
GMFBP1	glia maturation factor beta pseudogene 1	ENSG00000243495
GMFG	glia maturation factor gamma	ENSG00000130755
GMIP	GEM interacting protein	ENSG00000089639
GML	glycosylphosphatidylinositol anchored molecule like	ENSG00000104499
GMNC	geminin coiled-coil domain containing	ENSG00000205835
GMNN	geminin DNA replication inhibitor	ENSG00000112312
GMPPA	GDP-mannose pyrophosphorylase A	ENSG00000144591
GMPPB	GDP-mannose pyrophosphorylase B	ENSG00000173540
GMPR	guanosine monophosphate reductase	ENSG00000137198
GMPR2	guanosine monophosphate reductase 2	ENSG00000100938
GMPS	guanine monophosphate synthase	ENSG00000163655
GMPSP1	guanine monophosphate synthase pseudogene 1	ENSG00000250471
GNA11	G protein subunit alpha 11	ENSG00000088256
GNA12	G protein subunit alpha 12	ENSG00000146535
GNA13	G protein subunit alpha 13	ENSG00000120063
GNA13P1	GNA13 pseudogene 1	ENSG00000230237
GNA14	G protein subunit alpha 14	ENSG00000156049
GNA14-AS1	GNA14 antisense RNA 1	ENSG00000231373
GNA15	G protein subunit alpha 15	ENSG00000060558
GNA15-DT	GNA15 divergent transcript	ENSG00000267551
GNAI1	G protein subunit alpha i1	ENSG00000127955
GNAI2	G protein subunit alpha i2	ENSG00000114353
GNAI2P1	G protein subunit alpha i2 pseudogene 1	ENSG00000255749
GNAI2P2	G protein subunit alpha i2 pseudogene 2	ENSG00000231957
GNAI3	G protein subunit alpha i3	ENSG00000065135
GNAL	G protein subunit alpha L	ENSG00000141404
GNAO1	G protein subunit alpha o1	ENSG00000087258
GNAO1-AS1	symbol withdrawn, see [HGNC:27543](/data/gene-symbol-report/#!/hgnc_id/HGNC:27543)	
GNAO1-DT	GNAO1 divergent transcript	ENSG00000246379
GNAQ	G protein subunit alpha q	ENSG00000156052
GNAQP1	G protein subunit alpha q pseudogene 1	ENSG00000214077
GNAS	GNAS complex locus	ENSG00000087460
GNAS-AS1	GNAS antisense RNA 1	ENSG00000235590
GNAT1	G protein subunit alpha transducin 1	ENSG00000114349
GNAT2	G protein subunit alpha transducin 2	ENSG00000134183
GNAT3	G protein subunit alpha transducin 3	ENSG00000214415
GNAZ	G protein subunit alpha z	ENSG00000128266
GNB1	G protein subunit beta 1	ENSG00000078369
GNB1-DT	GNB1 divergent transcript	ENSG00000231050
GNB1L	G protein subunit beta 1 like	ENSG00000185838
GNB2	G protein subunit beta 2	ENSG00000172354
GNB3	G protein subunit beta 3	ENSG00000111664
GNB4	G protein subunit beta 4	ENSG00000114450
GNB5	G protein subunit beta 5	ENSG00000069966
GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	ENSG00000159921
GNG2	G protein subunit gamma 2	ENSG00000186469
GNG3	G protein subunit gamma 3	ENSG00000162188
GNG3LG	symbol withdrawn, see [HGNC:15832](/data/gene-symbol-report/#!/hgnc_id/HGNC:15832)	
GNG4	G protein subunit gamma 4	ENSG00000168243
GNG5	G protein subunit gamma 5	ENSG00000174021
GNG5B	G protein subunit gamma 5B	ENSG00000133136
GNG5P1	G protein subunit gamma 5 pseudogene 1	ENSG00000213536
GNG5P3	G protein subunit gamma 5 pseudogene 3	ENSG00000254949
GNG5P4	G protein subunit gamma 5 pseudogene 4	
GNG5P5	G protein subunit gamma 5 pseudogene 5	ENSG00000234590
GNG7	G protein subunit gamma 7	ENSG00000176533
GNG8	G protein subunit gamma 8	ENSG00000167414
GNG10	G protein subunit gamma 10	ENSG00000242616
GNG10P1	G protein subunit gamma 10 pseudogene 1	ENSG00000234016
GNG11	G protein subunit gamma 11	ENSG00000127920
GNG12	G protein subunit gamma 12	ENSG00000172380
GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1	ENSG00000232284
GNG13	G protein subunit gamma 13	ENSG00000127588
GNG14	G protein subunit gamma 14	ENSG00000283980
GNGT1	G protein subunit gamma transducin 1	ENSG00000127928
GNGT2	G protein subunit gamma transducin 2	ENSG00000167083
GNL1	G protein nucleolar 1 (putative)	ENSG00000204590
GNL2	G protein nucleolar 2	ENSG00000134697
GNL2P1	G protein nucleolar 2 pseudogene 1	ENSG00000223893
GNL3	G protein nucleolar 3	ENSG00000163938
GNL3L	G protein nucleolar 3 like	ENSG00000130119
GNL3LP1	G protein nucleolar 3 like pseudogene 1	ENSG00000215032
GNLY	granulysin	ENSG00000115523
GNMT	glycine N-methyltransferase	ENSG00000124713
GNPAT	glyceronephosphate O-acyltransferase	ENSG00000116906
GNPATP	glyceronephosphate O-acyltransferase pseudogene	ENSG00000259844
GNPDA1	glucosamine-6-phosphate deaminase 1	ENSG00000113552
GNPDA2	glucosamine-6-phosphate deaminase 2	ENSG00000163281
GNPNAT1	glucosamine-phosphate N-acetyltransferase 1	ENSG00000100522
GNPTA	symbol withdrawn, see [HGNC:29670](/data/gene-symbol-report/#!/hgnc_id/HGNC:29670)	
GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta	ENSG00000111670
GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma	ENSG00000090581
GNRH1	gonadotropin releasing hormone 1	ENSG00000147437
GNRH2	gonadotropin releasing hormone 2	ENSG00000125787
GNRHR	gonadotropin releasing hormone receptor	ENSG00000109163
GNRHR2	gonadotropin releasing hormone receptor 2 (pseudogene)	ENSG00000211451
GNRHR2P1	GNRHR2 pseudogene 1	ENSG00000259169
GNS	glucosamine (N-acetyl)-6-sulfatase	ENSG00000135677
GNT1	symbol withdrawn, see [HGNC:12530](/data/gene-symbol-report/#!/hgnc_id/HGNC:12530)	
GOLGA1	golgin A1	ENSG00000136935
GOLGA2	golgin A2	ENSG00000167110
GOLGA2P1	GOLGA2 pseudogene 1	ENSG00000205333
GOLGA2P2Y	GOLGA2 pseudogene 2 Y-linked	ENSG00000239533
GOLGA2P3Y	GOLGA2 pseudogene 3 Y-linked	ENSG00000172297
GOLGA2P4	GOLGA2 pseudogene 4	ENSG00000229608
GOLGA2P5	GOLGA2 pseudogene 5	ENSG00000238105
GOLGA2P6	GOLGA2 pseudogene 6	ENSG00000241621
GOLGA2P7	GOLGA2 pseudogene 7	ENSG00000225151
GOLGA2P8	GOLGA2 pseudogene 8	ENSG00000214433
GOLGA2P9	GOLGA2 pseudogene 9	ENSG00000269332
GOLGA2P10	GOLGA2 pseudogene 10	ENSG00000255769
GOLGA2P11	GOLGA2 pseudogene 11	ENSG00000260062
GOLGA3	golgin A3	ENSG00000090615
GOLGA4	golgin A4	ENSG00000144674
GOLGA4-AS1	GOLGA4 antisense RNA 1	ENSG00000270194
GOLGA4P1	golgin A4 pseudogene 1	
GOLGA4P2	golgin A4 pseudogene 2	
GOLGA4P3	golgin A4 pseudogene 3	
GOLGA5	golgin A5	ENSG00000066455
GOLGA5P1	golgin A5 pseudogene 1	ENSG00000251215
GOLGA6A	golgin A6 family member A	ENSG00000159289
GOLGA6B	golgin A6 family member B	ENSG00000215186
GOLGA6C	golgin A6 family member C	ENSG00000167195
GOLGA6D	golgin A6 family member D	ENSG00000140478
GOLGA6EP	golgin A6 family member E, pseudogene	ENSG00000187812
GOLGA6FP	golgin A6 family member F, pseudogene	ENSG00000260776
GOLGA6GP	golgin A6 family member G, pseudogene	ENSG00000261303
GOLGA6L1	golgin A6 family like 1	ENSG00000273976
GOLGA6L2	golgin A6 family like 2	ENSG00000174450
GOLGA6L3P	golgin A6 family like 3, pseudogene	ENSG00000188388
GOLGA6L4	golgin A6 family like 4	ENSG00000184206
GOLGA6L5P	golgin A6 family like 5, pseudogene	ENSG00000230373
GOLGA6L6	golgin A6 family like 6 (gene/pseudogene)	ENSG00000277322
GOLGA6L7	golgin A6 family like 7	ENSG00000261649
GOLGA6L9	golgin A6 family like 9	ENSG00000197978
GOLGA6L9-AS1	GOLGA6L9 antisense RNA 1	ENSG00000278202
GOLGA6L10	golgin A6 family like 10	ENSG00000278662
GOLGA6L11P	golgin A6 family like 11, pseudogene	ENSG00000223698
GOLGA6L12P	golgin A6 family like 12, pseudogene	
GOLGA6L13P	golgin A6 family like 13, pseudogene	
GOLGA6L14P	golgin A6 family like 14, pseudogene	
GOLGA6L15P	symbol withdrawn, see [HGNC:23958](/data/gene-symbol-report/#!/hgnc_id/HGNC:23958)	
GOLGA6L16P	golgin A6 family like 16, pseudogene	ENSG00000197092
GOLGA6L17P	golgin A6 family like 17, pseudogene	ENSG00000277741
GOLGA6L18	symbol withdrawn, see [HGNC:37228](/data/gene-symbol-report/#!/hgnc_id/HGNC:37228)	
GOLGA6L19	golgin A6 family like 19	
GOLGA6L20	symbol withdrawn, see [HGNC:37229](/data/gene-symbol-report/#!/hgnc_id/HGNC:37229)	
GOLGA6L21P	symbol withdrawn, see [HGNC:49414](/data/gene-symbol-report/#!/hgnc_id/HGNC:49414)	
GOLGA6L22	golgin A6 family like 22	ENSG00000277865
GOLGA6L23P	golgin A6 family like 23, pseudogene	ENSG00000261375
GOLGA6L24	golgin A6 family like 24	ENSG00000237850
GOLGA6L25	golgin A6 family like 25	ENSG00000227717
GOLGA6L26	golgin A6 family like 26	ENSG00000273756
GOLGA7	golgin A7	ENSG00000147533
GOLGA7B	golgin A7 family member B	ENSG00000155265
GOLGA7B-DT	GOLGA7B divergent transcript	ENSG00000227356
GOLGA8A	golgin A8 family member A	ENSG00000175265
GOLGA8B	golgin A8 family member B	ENSG00000215252
GOLGA8CP	golgin A8 family member C, pseudogene	ENSG00000181984
GOLGA8DP	golgin A8 family member D, pseudogene	ENSG00000175676
GOLGA8EP	golgin A8 family member E, pseudogene	ENSG00000185182
GOLGA8F	golgin A8 family member F	ENSG00000153684
GOLGA8G	golgin A8 family member G	ENSG00000183629
GOLGA8H	golgin A8 family member H	ENSG00000261794
GOLGA8IP	golgin A8 family member I, pseudogene	ENSG00000277561
GOLGA8J	golgin A8 family member J	ENSG00000179938
GOLGA8K	golgin A8 family member K	ENSG00000249931
GOLGA8M	golgin A8 family member M	ENSG00000188626
GOLGA8N	golgin A8 family member N	ENSG00000232653
GOLGA8O	golgin A8 family member O	ENSG00000206127
GOLGA8Q	golgin A8 family member Q	ENSG00000178115
GOLGA8R	golgin A8 family member R	ENSG00000186399
GOLGA8S	golgin A8 family member S	ENSG00000261739
GOLGA8T	golgin A8 family member T	ENSG00000261247
GOLGA8UP	golgin A8 family member U, pseudogene	ENSG00000103832
GOLGA8VP	golgin A8 family member V, pseudogene	ENSG00000259236
GOLGB1	golgin B1	ENSG00000173230
GOLIM4	golgi integral membrane protein 4	ENSG00000173905
GOLM1	golgi membrane protein 1	ENSG00000135052
GOLM2	golgi membrane protein 2	ENSG00000166734
GOLM2P1	GOLM2 pseudogene 1	ENSG00000238132
GOLPH3	golgi phosphoprotein 3	ENSG00000113384
GOLPH3-DT	GOLPH3 divergent transcript	ENSG00000272086
GOLPH3L	golgi phosphoprotein 3 like	ENSG00000143457
GOLT1A	golgi transport 1A	ENSG00000174567
GOLT1B	golgi transport 1B	ENSG00000111711
GON4L	gon-4 like	ENSG00000116580
GON7	GON7 subunit of KEOPS complex	ENSG00000170270
GOPC	golgi associated PDZ and coiled-coil motif containing	ENSG00000047932
GORAB	golgin, RAB6 interacting	ENSG00000120370
GORAB-AS1	GORAB antisense RNA 1	ENSG00000231407
GORASP1	golgi reassembly stacking protein 1	ENSG00000114745
GORASP2	golgi reassembly stacking protein 2	ENSG00000115806
GOSR1	golgi SNAP receptor complex member 1	ENSG00000108587
GOSR2	golgi SNAP receptor complex member 2	ENSG00000108433
GOSR2-DT	GOSR2 divergent transcript	ENSG00000261886
GOT1	glutamic-oxaloacetic transaminase 1	ENSG00000120053
GOT1-DT	GOT1 divergent transcript	ENSG00000224934
GOT1L1	glutamic-oxaloacetic transaminase 1 like 1	ENSG00000169154
GOT2	glutamic-oxaloacetic transaminase 2	ENSG00000125166
GOT2P1	GOT2 pseudogene 1	ENSG00000231900
GOT2P2	GOT2 pseudogene 2	ENSG00000230849
GOT2P3	GOT2 pseudogene 3	ENSG00000233719
GOT2P4	GOT2 pseudogene 4	
GOT2P5	GOT2 pseudogene 5	ENSG00000233634
GOT2P6	GOT2 pseudogene 6	ENSG00000214745
GOT2P7	GOT2 pseudogene 7	ENSG00000232392
GOV	symbol withdrawn, see [HGNC:9779](/data/gene-symbol-report/#!/hgnc_id/HGNC:9779)	
GOX1	symbol withdrawn, see [HGNC:4809](/data/gene-symbol-report/#!/hgnc_id/HGNC:4809)	
GP1BA	glycoprotein Ib platelet subunit alpha	ENSG00000185245
GP1BB	glycoprotein Ib platelet subunit beta	ENSG00000203618
GP2	glycoprotein 2	ENSG00000169347
GP2B	symbol withdrawn, see [HGNC:6138](/data/gene-symbol-report/#!/hgnc_id/HGNC:6138)	
GP5	glycoprotein V platelet	ENSG00000178732
GP6	glycoprotein VI platelet	ENSG00000088053
GP6-AS1	GP6 antisense RNA 1	ENSG00000267265
GP9	glycoprotein IX platelet	ENSG00000169704
GPA33	glycoprotein A33	ENSG00000143167
GPAA1	glycosylphosphatidylinositol anchor attachment 1	ENSG00000197858
GPAA1P1	glycosylphosphatidylinositol anchor attachment 1 pseudogene 1	ENSG00000240069
GPAA1P2	glycosylphosphatidylinositol anchor attachment 1 pseudogene 2	ENSG00000230596
GPALPP1	GPALPP motifs containing 1	ENSG00000133114
GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	ENSG00000119927
GPANK1	G-patch domain and ankyrin repeats 1	ENSG00000204438
GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial	ENSG00000186281
GPAT2P1	glycerol-3-phosphate acyltransferase 2 pseudogene 1	ENSG00000237510
GPAT2P2	glycerol-3-phosphate acyltransferase 2 pseudogene 2	ENSG00000188383
GPAT3	glycerol-3-phosphate acyltransferase 3	ENSG00000138678
GPAT4	glycerol-3-phosphate acyltransferase 4	ENSG00000158669
GPAT4-AS1	GPAT4 and GINS4 antisense RNA 1	ENSG00000253133
GPATCH1	G-patch domain containing 1	ENSG00000076650
GPATCH2	G-patch domain containing 2	ENSG00000092978
GPATCH2L	G-patch domain containing 2 like	ENSG00000089916
GPATCH3	G-patch domain containing 3	ENSG00000198746
GPATCH4	G-patch domain containing 4 (gene/pseudogene)	ENSG00000160818
GPATCH8	G-patch domain containing 8	ENSG00000186566
GPATCH11	G-patch domain containing 11	ENSG00000152133
GPATCH11P1	GPATCH11 pseudogene 1	ENSG00000182921
GPB	glycerol phosphatase, beta-	
GPBAR1	G protein-coupled bile acid receptor 1	ENSG00000179921
GPBP1	GC-rich promoter binding protein 1	ENSG00000062194
GPBP1L1	GC-rich promoter binding protein 1 like 1	ENSG00000159592
GPC1	glypican 1	ENSG00000063660
GPC1-AS1	GPC1 antisense RNA 1	ENSG00000218416
GPC2	glypican 2	ENSG00000213420
GPC3	glypican 3	ENSG00000147257
GPC3-AS1	GPC3 antisense RNA 1	
GPC4	glypican 4	ENSG00000076716
GPC5	glypican 5	ENSG00000179399
GPC5-AS1	GPC5 antisense RNA 1	ENSG00000235984
GPC5-AS2	GPC5 antisense RNA 2	ENSG00000232885
GPC5-IT1	GPC5 intronic transcript 1	ENSG00000236240
GPC6	glypican 6	ENSG00000183098
GPC6-AS1	GPC6 antisense RNA 1	ENSG00000236520
GPC6-AS2	GPC6 antisense RNA 2	ENSG00000224394
GPCPD1	glycerophosphocholine phosphodiesterase 1	ENSG00000125772
GPCPD1P1	GPCPD1 pseudogene 1	ENSG00000235095
GPD1	glycerol-3-phosphate dehydrogenase 1	ENSG00000167588
GPD1L	glycerol-3-phosphate dehydrogenase 1 like	ENSG00000152642
GPD2	glycerol-3-phosphate dehydrogenase 2	ENSG00000115159
GPDS1	glaucoma-related pigment dispersion syndrome 1	
GPER1	G protein-coupled estrogen receptor 1	ENSG00000164850
GPHA2	glycoprotein hormone subunit alpha 2	ENSG00000149735
GPHB5	glycoprotein hormone subunit beta 5	ENSG00000179600
GPHN	gephyrin	ENSG00000171723
GPI	glucose-6-phosphate isomerase	ENSG00000105220
GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	ENSG00000277494
GPKOW	G-patch domain and KOW motifs	ENSG00000068394
GPLD1	glycosylphosphatidylinositol specific phospholipase D1	ENSG00000112293
GPM6A	glycoprotein M6A	ENSG00000150625
GPM6A-DT	GPM6A divergent transcript	ENSG00000249106
GPM6B	glycoprotein M6B	ENSG00000046653
GPM6BP1	glycoprotein M6B pseudogene 1	ENSG00000230458
GPM6BP2	glycoprotein M6B pseudogene 2	ENSG00000236429
GPM6BP3	glycoprotein M6B pseudogene 3	ENSG00000234121
GPN1	GPN-loop GTPase 1	ENSG00000198522
GPN2	GPN-loop GTPase 2	ENSG00000142751
GPN2-AS1	GPN2 antisense RNA 1	ENSG00000226698
GPN3	GPN-loop GTPase 3	ENSG00000111231
GPN3P1	GPN-loop GTPase 3 pseudogene 1	ENSG00000227465
GPNMB	glycoprotein nmb	ENSG00000136235
GPR3	G protein-coupled receptor 3	ENSG00000181773
GPR4	G protein-coupled receptor 4	ENSG00000177464
GPR5	symbol withdrawn, see [HGNC:1625](/data/gene-symbol-report/#!/hgnc_id/HGNC:1625)	
GPR6	G protein-coupled receptor 6	ENSG00000146360
GPR11	symbol withdrawn, see [HGNC:3538](/data/gene-symbol-report/#!/hgnc_id/HGNC:3538)	
GPR12	G protein-coupled receptor 12	ENSG00000132975
GPR13	symbol withdrawn, see [HGNC:2558](/data/gene-symbol-report/#!/hgnc_id/HGNC:2558)	
GPR15	G protein-coupled receptor 15	ENSG00000154165
GPR15LG	G protein-coupled receptor 15 ligand	ENSG00000188373
GPR16	symbol withdrawn, see [HGNC:6713](/data/gene-symbol-report/#!/hgnc_id/HGNC:6713)	
GPR17	G protein-coupled receptor 17	ENSG00000144230
GPR18	G protein-coupled receptor 18	ENSG00000125245
GPR19	G protein-coupled receptor 19	ENSG00000183150
GPR20	G protein-coupled receptor 20	ENSG00000204882
GPR21	G protein-coupled receptor 21	ENSG00000188394
GPR22	G protein-coupled receptor 22	ENSG00000172209
GPR25	G protein-coupled receptor 25	ENSG00000170128
GPR26	G protein-coupled receptor 26	ENSG00000154478
GPR27	G protein-coupled receptor 27	ENSG00000170837
GPR28	symbol withdrawn, see [HGNC:1610](/data/gene-symbol-report/#!/hgnc_id/HGNC:1610)	
GPR31	G protein-coupled receptor 31	ENSG00000120436
GPR32	G protein-coupled receptor 32	ENSG00000142511
GPR32P1	GPR32 pseudogene 1	ENSG00000269565
GPR33	G protein-coupled receptor 33	ENSG00000214943
GPR34	G protein-coupled receptor 34	ENSG00000171659
GPR34P	G protein-coupled receptor 34 pseudogene	
GPR35	G protein-coupled receptor 35	ENSG00000178623
GPR36	G protein-coupled receptor 36	
GPR37	G protein-coupled receptor 37	ENSG00000170775
GPR37L1	G protein-coupled receptor 37 like 1	ENSG00000170075
GPR39	G protein-coupled receptor 39	ENSG00000183840
GPR42	G protein-coupled receptor 42	ENSG00000126251
GPR45	G protein-coupled receptor 45	ENSG00000135973
GPR50	G protein-coupled receptor 50	ENSG00000102195
GPR50-AS1	GPR50 antisense RNA 1	ENSG00000234696
GPR52	G protein-coupled receptor 52	ENSG00000203737
GPR53P	G protein-coupled receptor 53, pseudogene	ENSG00000229281
GPR55	G protein-coupled receptor 55	ENSG00000135898
GPR55-AS1	GPR55 antisense RNA 1	ENSG00000230385
GPR61	G protein-coupled receptor 61	ENSG00000156097
GPR62	G protein-coupled receptor 62	ENSG00000180929
GPR63	G protein-coupled receptor 63	ENSG00000112218
GPR65	G protein-coupled receptor 65	ENSG00000140030
GPR67	symbol withdrawn, see [HGNC:4504](/data/gene-symbol-report/#!/hgnc_id/HGNC:4504)	
GPR68	G protein-coupled receptor 68	ENSG00000119714
GPR69A	symbol withdrawn, see [HGNC:6508](/data/gene-symbol-report/#!/hgnc_id/HGNC:6508)	
GPR69B	symbol withdrawn, see [HGNC:6509](/data/gene-symbol-report/#!/hgnc_id/HGNC:6509)	
GPR70	symbol withdrawn, see [HGNC:14448](/data/gene-symbol-report/#!/hgnc_id/HGNC:14448)	
GPR71	symbol withdrawn, see [HGNC:14905](/data/gene-symbol-report/#!/hgnc_id/HGNC:14905)	
GPR72	symbol withdrawn, see [HGNC:4523](/data/gene-symbol-report/#!/hgnc_id/HGNC:4523)	
GPR75	G protein-coupled receptor 75	ENSG00000119737
GPR75-ASB3	GPR75-ASB3 readthrough	ENSG00000270898
GPR78	G protein-coupled receptor 78	ENSG00000155269
GPR79	G protein-coupled receptor 79 (pseudogene)	ENSG00000232374
GPR82	G protein-coupled receptor 82	ENSG00000171657
GPR83	G protein-coupled receptor 83	ENSG00000123901
GPR84	G protein-coupled receptor 84	ENSG00000139572
GPR84-AS1	GPR84, ZNF385A, ITGA5 and GTSF1 antisense RNA 1	ENSG00000258086
GPR85	G protein-coupled receptor 85	ENSG00000164604
GPR87	G protein-coupled receptor 87	ENSG00000138271
GPR88	G protein-coupled receptor 88	ENSG00000181656
GPR89A	G protein-coupled receptor 89A	ENSG00000117262
GPR89B	G protein-coupled receptor 89B	ENSG00000188092
GPR89C	symbol withdrawn, see [HGNC:13840](/data/gene-symbol-report/#!/hgnc_id/HGNC:13840)	
GPR89P	G protein-coupled receptor 89 pseudogene	ENSG00000216915
GPR90	G protein-coupled receptor 90	
GPR93	symbol withdrawn, see [HGNC:13307](/data/gene-symbol-report/#!/hgnc_id/HGNC:13307)	
GPR94	symbol withdrawn, see [HGNC:4537](/data/gene-symbol-report/#!/hgnc_id/HGNC:4537)	
GPR95	symbol withdrawn, see [HGNC:4538](/data/gene-symbol-report/#!/hgnc_id/HGNC:4538)	
GPR99	symbol withdrawn, see [HGNC:4531](/data/gene-symbol-report/#!/hgnc_id/HGNC:4531)	
GPR101	G protein-coupled receptor 101	ENSG00000165370
GPR104	symbol withdrawn, see [HGNC:4532](/data/gene-symbol-report/#!/hgnc_id/HGNC:4532)	
GPR107	G protein-coupled receptor 107	ENSG00000148358
GPR108	G protein-coupled receptor 108	ENSG00000125734
GPR119	G protein-coupled receptor 119	ENSG00000147262
GPR129	symbol withdrawn, see [HGNC:19061](/data/gene-symbol-report/#!/hgnc_id/HGNC:19061)	
GPR130	G protein-coupled receptor 130	
GPR132	G protein-coupled receptor 132	ENSG00000183484
GPR134	symbol withdrawn, see [HGNC:16291](/data/gene-symbol-report/#!/hgnc_id/HGNC:16291)	
GPR135	G protein-coupled receptor 135	ENSG00000181619
GPR137	G protein-coupled receptor 137	ENSG00000173264
GPR137B	G protein-coupled receptor 137B	ENSG00000077585
GPR137C	G protein-coupled receptor 137C	ENSG00000180998
GPR139	G protein-coupled receptor 139	ENSG00000180269
GPR140	symbol withdrawn, see [HGNC:24828](/data/gene-symbol-report/#!/hgnc_id/HGNC:24828)	
GPR141	G protein-coupled receptor 141	ENSG00000187037
GPR141BP	G protein-coupled receptor 141B, pseudogene	ENSG00000283444
GPR142	G protein-coupled receptor 142	ENSG00000257008
GPR143	G protein-coupled receptor 143	ENSG00000101850
GPR143YP	G protein-coupled receptor 143 Y-linked pseudogene	ENSG00000232583
GPR146	G protein-coupled receptor 146	ENSG00000164849
GPR148	G protein-coupled receptor 148	ENSG00000173302
GPR149	G protein-coupled receptor 149	ENSG00000174948
GPR150	G protein-coupled receptor 150	ENSG00000178015
GPR151	G protein-coupled receptor 151	ENSG00000173250
GPR152	G protein-coupled receptor 152	ENSG00000175514
GPR153	G protein-coupled receptor 153	ENSG00000158292
GPR155	G protein-coupled receptor 155	ENSG00000163328
GPR155-DT	GPR155 divergent transcript	ENSG00000226853
GPR156	G protein-coupled receptor 156	ENSG00000175697
GPR157	G protein-coupled receptor 157	ENSG00000180758
GPR158	G protein-coupled receptor 158	ENSG00000151025
GPR158-AS1	GPR158 antisense RNA 1	ENSG00000233642
GPR160	G protein-coupled receptor 160	ENSG00000173890
GPR160P1	GPR160 pseudogene 1	ENSG00000203363
GPR160P2	GPR160 pseudogene 2	ENSG00000265863
GPR161	G protein-coupled receptor 161	ENSG00000143147
GPR162	G protein-coupled receptor 162	ENSG00000250510
GPR165P	G protein-coupled receptor 165, pseudogene	
GPR166P	G protein-coupled receptor 166, pseudogene	ENSG00000220349
GPR171	G protein-coupled receptor 171	ENSG00000174946
GPR173	G protein-coupled receptor 173	ENSG00000184194
GPR174	G protein-coupled receptor 174	ENSG00000147138
GPR176	G protein-coupled receptor 176	ENSG00000166073
GPR176-DT	GPR176 divergent transcript	ENSG00000246863
GPR179	G protein-coupled receptor 179	ENSG00000277399
GPR180	G protein-coupled receptor 180	ENSG00000152749
GPR182	G protein-coupled receptor 182	ENSG00000166856
GPR183	G protein-coupled receptor 183	ENSG00000169508
GPR199P	G protein-coupled receptor 199, pseudogene	ENSG00000241014
GPRACR	GPR107 adjacent cis regulating lncRNA	ENSG00000196979
GPRASP1	G protein-coupled receptor associated sorting protein 1	ENSG00000198932
GPRASP2	G protein-coupled receptor associated sorting protein 2	ENSG00000158301
GPRASP3	G protein-coupled receptor associated sorting protein family member 3	ENSG00000198908
GPRASP3P1	GPRASP3 pseudogene 1	ENSG00000258915
GPRC5A	G protein-coupled receptor class C group 5 member A	ENSG00000013588
GPRC5B	G protein-coupled receptor class C group 5 member B	ENSG00000167191
GPRC5C	G protein-coupled receptor class C group 5 member C	ENSG00000170412
GPRC5D	G protein-coupled receptor class C group 5 member D	ENSG00000111291
GPRC5D-AS1	GPRC5D and HEBP1 antisense RNA 1	ENSG00000247498
GPRC6A	G protein-coupled receptor class C group 6 member A	ENSG00000173612
